"TL","Territory Level and Typology","REG_ID","Region","VAR","Variable","VINTAGE","Vintage","DWELLINGS","Dwellings","MEASURE","Measure","FREQ","Frequency","TIME","Time","Value","Flag Codes","Flags"
"1","Country","BEL","Belgium","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GY","Percentage change on the same period of the previous year","A","Annual","2011","2011",4.021,,
"1","Country","BEL","Belgium","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GY","Percentage change on the same period of the previous year","A","Annual","2012","2012",2.234,,
"1","Country","BEL","Belgium","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GY","Percentage change on the same period of the previous year","A","Annual","2013","2013",1.174,,
"1","Country","BEL","Belgium","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GY","Percentage change on the same period of the previous year","A","Annual","2014","2014",-0.551,,
"1","Country","BEL","Belgium","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GY","Percentage change on the same period of the previous year","A","Annual","2015","2015",1.608,,
"1","Country","BEL","Belgium","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GY","Percentage change on the same period of the previous year","A","Annual","2016","2016",2.641,,
"1","Country","BEL","Belgium","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GY","Percentage change on the same period of the previous year","A","Annual","2017","2017",3.636,,
"1","Country","BEL","Belgium","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GY","Percentage change on the same period of the previous year","A","Annual","2018","2018",2.86,,
"1","Country","BEL","Belgium","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GY","Percentage change on the same period of the previous year","A","Annual","2019","2019",3.988,,
"1","Country","FRA","France","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GY","Percentage change on the same period of the previous year","A","Annual","2005","2005",15.115,,
"1","Country","FRA","France","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GY","Percentage change on the same period of the previous year","A","Annual","2006","2006",11.655,,
