"TL","Territory Level and Typology","REG_ID","Region","VAR","Variable","VINTAGE","Vintage","DWELLINGS","Dwellings","MEASURE","Measure","FREQ","Frequency","TIME","Time","Value","Flag Codes","Flags"
"1","Country","FRA","France","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GY","Percentage change on the same period of the previous year","A","Annual","2007","2007",6.448,,
"1","Country","FRA","France","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GY","Percentage change on the same period of the previous year","A","Annual","2008","2008",0.894,,
"1","Country","FRA","France","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GY","Percentage change on the same period of the previous year","A","Annual","2009","2009",-6.152,,
"1","Country","FRA","France","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GY","Percentage change on the same period of the previous year","A","Annual","2010","2010",4.772,,
"1","Country","FRA","France","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GY","Percentage change on the same period of the previous year","A","Annual","2011","2011",5.806,,
"1","Country","FRA","France","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GY","Percentage change on the same period of the previous year","A","Annual","2012","2012",-0.52,,
"1","Country","FRA","France","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GY","Percentage change on the same period of the previous year","A","Annual","2013","2013",-1.926,,
"1","Country","FRA","France","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GY","Percentage change on the same period of the previous year","A","Annual","2014","2014",-1.576,,
"1","Country","FRA","France","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GY","Percentage change on the same period of the previous year","A","Annual","2015","2015",-1.502,,
"1","Country","FRA","France","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GY","Percentage change on the same period of the previous year","A","Annual","2016","2016",1.05,,
"1","Country","FRA","France","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GY","Percentage change on the same period of the previous year","A","Annual","2017","2017",3.093,,
"1","Country","FRA","France","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GY","Percentage change on the same period of the previous year","A","Annual","2018","2018",2.952,,
"1","Country","FRA","France","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GY","Percentage change on the same period of the previous year","A","Annual","2019","2019",3.311,,
"1","Country","BEL","Belgium","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GP","Percentage change from previous period","A","Annual","2006","2006",9.76,,
"1","Country","BEL","Belgium","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GP","Percentage change from previous period","A","Annual","2007","2007",7.791,,
"1","Country","BEL","Belgium","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GP","Percentage change from previous period","A","Annual","2008","2008",4.412,,
"1","Country","BEL","Belgium","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GP","Percentage change from previous period","A","Annual","2009","2009",-0.471,,
"1","Country","BEL","Belgium","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GP","Percentage change from previous period","A","Annual","2010","2010",3.134,,
"1","Country","BEL","Belgium","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GP","Percentage change from previous period","A","Annual","2011","2011",4.021,,
"1","Country","BEL","Belgium","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GP","Percentage change from previous period","A","Annual","2012","2012",2.234,,
"1","Country","BEL","Belgium","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GP","Percentage change from previous period","A","Annual","2013","2013",1.174,,
"1","Country","BEL","Belgium","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GP","Percentage change from previous period","A","Annual","2014","2014",-0.551,,
"1","Country","BEL","Belgium","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GP","Percentage change from previous period","A","Annual","2015","2015",1.608,,
"1","Country","BEL","Belgium","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GP","Percentage change from previous period","A","Annual","2016","2016",2.641,,
"1","Country","BEL","Belgium","RHPI","House Price Index","VINTAGE_TOTAL","Total","DWELLINGS_TOTAL","Total","GP","Percentage change from previous period","A","Annual","2017","2017",3.636,,
