"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRLT","Long-term interest rates, Per cent per annum","CHE","Switzerland","A","Annual","2005","2005","PC","Percentage","0","Units",,,2.0955,,
"IRLT","Long-term interest rates, Per cent per annum","CHE","Switzerland","A","Annual","2006","2006","PC","Percentage","0","Units",,,2.517083,,
"IRLT","Long-term interest rates, Per cent per annum","CHE","Switzerland","A","Annual","2007","2007","PC","Percentage","0","Units",,,2.92675,,
"IRLT","Long-term interest rates, Per cent per annum","CHE","Switzerland","A","Annual","2008","2008","PC","Percentage","0","Units",,,2.896833,,
"IRLT","Long-term interest rates, Per cent per annum","CHE","Switzerland","A","Annual","2009","2009","PC","Percentage","0","Units",,,2.202667,,
"IRLT","Long-term interest rates, Per cent per annum","CHE","Switzerland","A","Annual","2010","2010","PC","Percentage","0","Units",,,1.631667,,
"IRLT","Long-term interest rates, Per cent per annum","CHE","Switzerland","A","Annual","2011","2011","PC","Percentage","0","Units",,,1.471667,,
"IRLT","Long-term interest rates, Per cent per annum","CHE","Switzerland","A","Annual","2012","2012","PC","Percentage","0","Units",,,0.6466666,,
"IRLT","Long-term interest rates, Per cent per annum","CHE","Switzerland","A","Annual","2013","2013","PC","Percentage","0","Units",,,0.9491667,,
"IRLT","Long-term interest rates, Per cent per annum","CHE","Switzerland","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.6925,,
"IRLT","Long-term interest rates, Per cent per annum","CHE","Switzerland","A","Annual","2015","2015","PC","Percentage","0","Units",,,-0.06916667,,
"IRLT","Long-term interest rates, Per cent per annum","CHE","Switzerland","A","Annual","2016","2016","PC","Percentage","0","Units",,,-0.362,,
"IRLT","Long-term interest rates, Per cent per annum","CHE","Switzerland","A","Annual","2017","2017","PC","Percentage","0","Units",,,-0.07208333,,
"IRLT","Long-term interest rates, Per cent per annum","CHE","Switzerland","A","Annual","2018","2018","PC","Percentage","0","Units",,,0.03316667,,
"IRLT","Long-term interest rates, Per cent per annum","CHE","Switzerland","A","Annual","2019","2019","PC","Percentage","0","Units",,,-0.489,,
"IR3TIB","Short-term interest rates, Per cent per annum","CHE","Switzerland","A","Annual","2005","2005","PC","Percentage","0","Units",,,0.8097216,,
"IR3TIB","Short-term interest rates, Per cent per annum","CHE","Switzerland","A","Annual","2006","2006","PC","Percentage","0","Units",,,1.557153,,
"IR3TIB","Short-term interest rates, Per cent per annum","CHE","Switzerland","A","Annual","2007","2007","PC","Percentage","0","Units",,,2.572431,,
"IR3TIB","Short-term interest rates, Per cent per annum","CHE","Switzerland","A","Annual","2008","2008","PC","Percentage","0","Units",,,2.483472,,
"IR3TIB","Short-term interest rates, Per cent per annum","CHE","Switzerland","A","Annual","2009","2009","PC","Percentage","0","Units",,,0.3625133,,
"IR3TIB","Short-term interest rates, Per cent per annum","CHE","Switzerland","A","Annual","2010","2010","PC","Percentage","0","Units",,,0.1864583,,
"IR3TIB","Short-term interest rates, Per cent per annum","CHE","Switzerland","A","Annual","2011","2011","PC","Percentage","0","Units",,,0.1171525,,
"IR3TIB","Short-term interest rates, Per cent per annum","CHE","Switzerland","A","Annual","2012","2012","PC","Percentage","0","Units",,,0.06557,,
"IR3TIB","Short-term interest rates, Per cent per annum","CHE","Switzerland","A","Annual","2013","2013","PC","Percentage","0","Units",,,0.01966667,,
"IR3TIB","Short-term interest rates, Per cent per annum","CHE","Switzerland","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.007833334,,
"IR3TIB","Short-term interest rates, Per cent per annum","CHE","Switzerland","A","Annual","2015","2015","PC","Percentage","0","Units",,,-0.78375,,
"IR3TIB","Short-term interest rates, Per cent per annum","CHE","Switzerland","A","Annual","2016","2016","PC","Percentage","0","Units",,,-0.7481167,,
"IR3TIB","Short-term interest rates, Per cent per annum","CHE","Switzerland","A","Annual","2017","2017","PC","Percentage","0","Units",,,-0.7314,,
